資料表名稱,欄位名稱,資料型態,是否必填,預設值,說明,索引類型
foods,id,INT AUTO_INCREMENT,是,,食物唯一識別碼,PRIMARY KEY
foods,name,VARCHAR(100),是,,食物名稱,
foods,brand,VARCHAR(50),否,,品牌名稱,
foods,serving_size_g,FLOAT,是,,每份重量 (公克),
foods,kcal,FLOAT,是,,卡路里 (kcal),
foods,protein_g,FLOAT,是,,蛋白質 (公克),
foods,carb_g,FLOAT,是,,碳水化合物 (公克),
foods,fat_g,FLOAT,是,,脂肪 (公克),
foods,sugar_g,FLOAT,否,,糖分 (公克),
foods,fiber_g,FLOAT,否,,纖維 (公克),
foods,sodium_mg,FLOAT,否,,鈉 (毫克),
foods,tags,JSON,否,,食物標籤 (JSON 陣列),
foods,created_at,TIMESTAMP,是,CURRENT_TIMESTAMP,建立時間,
foods,updated_at,TIMESTAMP,是,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,最後更新時間,
user_targets,id,VARCHAR(36),是,,目標唯一識別碼,PRIMARY KEY
user_targets,user_id,VARCHAR(36),是,,對應 users 表的 user_id,FOREIGN KEY
user_targets,kcal_target,FLOAT,是,,目標卡路里攝取量,
user_targets,protein_target_g,FLOAT,是,,目標蛋白質攝取量 (公克),
user_targets,carb_target_g,FLOAT,是,,目標碳水化合物攝取量 (公克),
user_targets,fat_target_g,FLOAT,是,,目標脂肪攝取量 (公克),
user_targets,meals_per_day,INT,是,3,每日餐次數,
user_targets,diet_type,VARCHAR(50),是,balanced,飲食型態 (balanced cutting bulking),
user_targets,allergens,JSON,否,,過敏原清單 (JSON 陣列),
user_targets,dislikes,JSON,否,,不喜歡的食物 (JSON 陣列),
user_targets,created_at,TIMESTAMP,是,CURRENT_TIMESTAMP,建立時間,
user_targets,updated_at,TIMESTAMP,是,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,最後更新時間,
user_preferences,id,VARCHAR(36),是,,偏好唯一識別碼,PRIMARY KEY
user_preferences,user_id,VARCHAR(36),是,,對應 users 表的 user_id,FOREIGN KEY
user_preferences,budget_level,VARCHAR(20),是,medium,預算等級 (low medium high),
user_preferences,cooking_time_min,INT,是,30,可接受烹調時間 (分鐘),
user_preferences,cuisine,VARCHAR(50),否,,偏好菜系,
user_preferences,avoid_ingredients,JSON,否,,避免的食材 (JSON 陣列),
user_preferences,created_at,TIMESTAMP,是,CURRENT_TIMESTAMP,建立時間,
user_preferences,updated_at,TIMESTAMP,是,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,最後更新時間,
